geoid10,county,namelsad10,city,ngo_section,population,commute,pet,garden_pct,home_value_2012,x,y
48113005300,Dallas County,Census Tract 53,Dallas,Best Southwest/Oak Cliff/Grand Prairie,6995,26.2,49.5800018310547,32,"$88,679",-96.8602456916206,32.734122393096
48113013400,Dallas County,Census Tract 134,Dallas,Park Cities/North Dallas/Uptown/Oak Lawn,1987,,54.7400016784668,49.51,"$475,342",-96.8113846362357,32.9021161665677
48113001102,Dallas County,Census Tract 11.02,Dallas,White Rock/East Dallas,2310,,45.6399993896484,31.43,"$293,376",-96.7573708715653,32.8179521245019
48113009608,Dallas County,Census Tract 96.08,Dallas,Park Cities/North Dallas/Uptown/Oak Lawn,4742,,50.1699981689453,32.13,"$260,951",-96.8462661561516,32.9159703531936
48439113519,Tarrant County,Census Tract 1135.19,Euless,,6015,23,49.560001373291,29.98,"$146,650",-97.0900944079711,32.8730982647228
48121021739,Denton County,Census Tract 217.39,Lewisville,Lewisville/Flower Mound/Highland Village,3735,24.5,31.9899997711182,16.88,$0,-96.9875050533854,33.0193874114375
48113007903,Dallas County,Census Tract 79.03,Dallas,White Rock/East Dallas,1799,,46.689998626709,39.41,"$305,411",-96.7563887673114,32.8500532318291
48085031805,Collin County,Census Tract 318.05,Richardson,Richardson/Far North Dallas/Lake Highlands,5128,23.6,56.5800018310547,43.54,"$237,427",-96.7049753535808,32.9914352125224
48113001302,Dallas County,Census Tract 13.02,Dallas,White Rock/East Dallas,2954,24.4,30.2399997711182,17.73,"$253,750",-96.7628647997438,32.8003387657524
48113014127,Dallas County,Census Tract 141.27,Dallas,Irving/Coppell,9182,22.6,42.5800018310547,27.34,"$326,911",-96.9752759848219,32.9393116730785
48113007302,Dallas County,Census Tract 73.02,Dallas,Park Cities/North Dallas/Uptown/Oak Lawn,4211,,46.8300018310547,37.8,"$396,279",-96.8347096419485,32.8581680519597
48113018141,Dallas County,Census Tract 181.41,Dallas,Garland/Mesquite,3987,29.8,31.9899997711182,16.86,"$108,511",-96.5346075894764,32.8601859110078
48113017101,Dallas County,Census Tract 171.01,Dallas,Garland/Mesquite,5417,32,59.1599998474121,34.05,"$94,763",-96.603545605166,32.6930203463119
48439113517,Tarrant County,Census Tract 1135.17,Euless,,3866,21.2,42.25,23.7,"$185,417",-97.0781340055026,32.85866626503
